cell,source,width,value
rodent_mod,nam,19,-14.44
rodent_mod,nam,20,-23.1
rodent_mod,nam,21,-20.98
rodent_mod,nam,22,-30.51
rodent_mod,nam,23,-32.46
rodent_mod,nam,24,-29.93
gt_max,gtr2,8,27.7848
gt_max,gtr2,9,19.1223
gt_max,gtr2,10,18.8878
gt_max,gtr2,11,15.9240
gt_max,gtr2,12,12.9412
gt_max,gtr2,13,11.7027
gt_max,gtr2,14,7.6558
gt_max,gtr2,15,2.7954
gt_max,gtr2,16,-2.8331
gt_max,gtr2,17,-9.2511
gt_max,gtr2,18,-15.8147
gt_max,gtr2,19,-22.5166
gt_max,gtr2,20,-28.5684
gt_max,gtr2,21,-33.2137
gt_max,gtr2,22,-39.5490
gt_max,gtr2,23,-40.2868
gt_max,gtr2,24,-40.4629
gt_max,gtr4sg,8,25.3941
gt_max,gtr4sg,9,16.4268
gt_max,gtr4sg,10,13.9091
gt_max,gtr4sg,11,12.9715
gt_max,gtr4sg,12,9.0260
gt_max,gtr4sg,13,7.3476
gt_max,gtr4sg,14,4.0983
gt_max,gtr4sg,15,0.2325
gt_max,gtr4sg,16,-4.3692
gt_max,gtr4sg,17,-9.6877
gt_max,gtr4sg,18,-15.0025
gt_max,gtr4sg,19,-20.2766
gt_max,gtr4sg,20,-26.3167
gt_max,gtr4sg,21,-30.9890
gt_max,gtr4sg,22,-38.5862
gt_max,gtr4sg,23,-39.0462
gt_max,gtr4sg,24,-39.1704
gt_max,prvtgtr,8,26.3015
gt_max,prvtgtr,9,17.1739
gt_max,prvtgtr,10,16.7731
gt_max,prvtgtr,11,12.8507
gt_max,prvtgtr,12,8.6584
gt_max,prvtgtr,13,5.4394
gt_max,prvtgtr,14,0.2375
gt_max,prvtgtr,15,-5.1960
gt_max,prvtgtr,16,-10.7349
gt_max,prvtgtr,17,-16.2508
gt_max,prvtgtr,18,-21.4241
gt_max,prvtgtr,19,-26.3463
gt_max,prvtgtr,20,-30.5078
gt_max,prvtgtr,21,-33.5444
gt_max,prvtgtr,22,-37.6097
gt_max,prvtgtr,23,-37.6335
gt_max,prvtgtr,24,-37.7064
gt_max,ytbass,8,29.8662
gt_max,ytbass,9,17.6652
gt_max,ytbass,10,16.1841
gt_max,ytbass,11,12.6372
gt_max,ytbass,12,9.4270
gt_max,ytbass,13,7.3159
gt_max,ytbass,14,2.9929
gt_max,ytbass,15,-2.3605
gt_max,ytbass,16,-8.1271
gt_max,ytbass,17,-13.8036
gt_max,ytbass,18,-19.6581
gt_max,ytbass,19,-25.3360
gt_max,ytbass,20,-30.8952
gt_max,ytbass,21,-35.3283
gt_max,ytbass,22,-42.0340
gt_max,ytbass,23,-42.4930
gt_max,ytbass,24,-42.6422
gt_max,nam,8,29.17
gt_max,nam,9,17.57
gt_max,nam,10,17.73
gt_max,nam,11,15.47
gt_max,nam,12,13.94
gt_max,nam,13,12.39
gt_max,nam,14,8.48
gt_max,nam,15,3.82
gt_max,nam,16,-1.98
gt_max,nam,17,-8.28
gt_max,nam,18,-14.65
gt_max,nam,19,-20.88
gt_max,nam,20,-26.54
gt_max,nam,21,-30.93
gt_max,nam,22,-37.97
gt_max,nam,23,-38.28
gt_max,nam,24,-38.4
gt_mod,gtr2,8,29.6055
gt_mod,gtr2,9,22.0260
gt_mod,gtr2,10,17.0345
gt_mod,gtr2,11,13.1213
gt_mod,gtr2,12,8.2881
gt_mod,gtr2,13,3.9067
gt_mod,gtr2,14,-1.3361
gt_mod,gtr2,15,-6.5114
gt_mod,gtr2,16,-12.0247
gt_mod,gtr2,17,-17.7257
gt_mod,gtr2,18,-23.3828
gt_mod,gtr2,19,-29.2768
gt_mod,gtr2,20,-34.9364
gt_mod,gtr2,21,-39.0744
gt_mod,gtr2,22,-43.9713
gt_mod,gtr2,23,-44.1180
gt_mod,gtr2,24,-44.1658
gt_mod,gtr4sg,8,27.7204
gt_mod,gtr4sg,9,19.7918
gt_mod,gtr4sg,10,14.4094
gt_mod,gtr4sg,11,10.5373
gt_mod,gtr4sg,12,4.6779
gt_mod,gtr4sg,13,-0.0055
gt_mod,gtr4sg,14,-5.3823
gt_mod,gtr4sg,15,-10.5834
gt_mod,gtr4sg,16,-15.6837
gt_mod,gtr4sg,17,-20.5232
gt_mod,gtr4sg,18,-25.3380
gt_mod,gtr4sg,19,-30.5373
gt_mod,gtr4sg,20,-35.6583
gt_mod,gtr4sg,21,-39.6733
gt_mod,gtr4sg,22,-44.9876
gt_mod,gtr4sg,23,-45.1272
gt_mod,gtr4sg,24,-45.1926
gt_mod,prvtgtr,8,29.1830
gt_mod,prvtgtr,9,22.5586
gt_mod,prvtgtr,10,15.6220
gt_mod,prvtgtr,11,12.0958
gt_mod,prvtgtr,12,6.9069
gt_mod,prvtgtr,13,2.2631
gt_mod,prvtgtr,14,-3.2670
gt_mod,prvtgtr,15,-9.3092
gt_mod,prvtgtr,16,-16.3393
gt_mod,prvtgtr,17,-23.4035
gt_mod,prvtgtr,18,-30.0518
gt_mod,prvtgtr,19,-35.7833
gt_mod,prvtgtr,20,-40.2587
gt_mod,prvtgtr,21,-43.0811
gt_mod,prvtgtr,22,-45.5935
gt_mod,prvtgtr,23,-45.7519
gt_mod,prvtgtr,24,-45.7314
gt_mod,ytbass,8,30.5015
gt_mod,ytbass,9,22.8557
gt_mod,ytbass,10,17.5982
gt_mod,ytbass,11,14.2636
gt_mod,ytbass,12,8.9426
gt_mod,ytbass,13,4.1581
gt_mod,ytbass,14,-1.4986
gt_mod,ytbass,15,-7.5334
gt_mod,ytbass,16,-13.9083
gt_mod,ytbass,17,-20.2540
gt_mod,ytbass,18,-26.3815
gt_mod,ytbass,19,-32.4600
gt_mod,ytbass,20,-37.7392
gt_mod,ytbass,21,-41.3465
gt_mod,ytbass,22,-44.9126
gt_mod,ytbass,23,-45.0625
gt_mod,ytbass,24,-45.1089
gt_mod,nam,8,29.72
gt_mod,nam,9,22.59
gt_mod,nam,10,16.74
gt_mod,nam,11,13.13
