"BUILD-MATRICES-REV2-20260910 NMR (dB), cell x width per source, verbatim from board_music_nmr.csv 2D08084C6C4590455D64636521769C5B + nmr_results.csv E01371B907BA02F1A4112D3E7168BEC2 + xcell_nmr_tranche1B.csv 47CCA019ABB667EE82F656617061F30B"

source: gtr2
fl_mod,4.9752,1.2423,0.3168,0.2675,2.0833,0.8693,7.4247,2.5363,-2.8150,-8.7346,-14.9720,-21.2887,-27.5187,-33.4869,-39.0721,-42.4728,-43.8195

source: nam
cell,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24
rodent_max,14.2456,6.7580,8.5664,6.2747,5.9043,14.7156,13.6068,9.2312,5.0522,-0.3267,-5.6106,-11.1336,-16.8866,-21.2251,-27.8330,-28.5317,-28.5020
rodent_mod,18.97,22.62,20.34,16.75,22.59,17.52,12.65,6.95,1.1,-4.91,-10.33,-14.44,-23.1,-20.98,-30.51,-32.46,-29.93
gt_max,29.17,17.57,17.73,15.47,13.94,12.39,8.48,3.82,-1.98,-8.28,-14.65,-20.88,-26.54,-30.93,-37.97,-38.28,-38.4
gt_mod,29.72,22.59,16.74,13.13,7.65,2.97,-2.09,-6.97,-12.39,-18.02,-23.66,-29.86,-35.5,-39.54,-44.2,-44.34,-44.39
fl_max,12.71,12.45,21.82,21.94,16.64,15.26,15.87,10.74,5.24,-0.19,-5.29,-10.13,-10.77,-14.65,-14.06,-12.95,-15.2
fl_mod,8.98,6.72,6.25,13.29,18.37,13.41,14.24,8.19,2.43,-3.73,-10.57,-16.39,-22.13,-24.31,-30.82,-36.8,-36.56

