"fl_mod","8","default","gru_L20_fl_mod_w8.bit","gru_L20_fl_mod_w8.hwh","","NONE"
"fl_mod","9","default","gru_L20_fl_mod_w9.bit","gru_L20_fl_mod_w9.hwh","","NONE"
"fl_mod","10","default","gru_L20_fl_mod_w10.bit","gru_L20_fl_mod_w10.hwh","","NONE"
"fl_mod","11","default","gru_L20_fl_mod_w11.bit","gru_L20_fl_mod_w11.hwh","","NONE"
"fl_mod","12","default","gru_L20_fl_mod_w12.bit","gru_L20_fl_mod_w12.hwh","","NONE"
"fl_mod","13","default","gru_L20_fl_mod_w13.bit","gru_L20_fl_mod_w13.hwh","","NONE"
"fl_mod","14","default","gru_L20_fl_mod_w14.bit","gru_L20_fl_mod_w14.hwh","","NONE"
"fl_mod","15","default","gru_L20_fl_mod_w15.bit","gru_L20_fl_mod_w15.hwh","","NONE"
"fl_mod","16","default","gru_L20_fl_mod_w16.bit","gru_L20_fl_mod_w16.hwh","","NONE"
"fl_mod","17","default","gru_L20_fl_mod_w17.bit","gru_L20_fl_mod_w17.hwh","","NONE"
"fl_mod","18","default","gru_L20_fl_mod_w18.bit","gru_L20_fl_mod_w18.hwh","","NONE"
"fl_mod","19","default","gru_L20_fl_mod_w19.bit","gru_L20_fl_mod_w19.hwh","","NONE"
"fl_mod","20","default","gru_L20_fl_mod_w20.bit","gru_L20_fl_mod_w20.hwh","","NONE"
"fl_mod","21","default","gru_L20_fl_mod_w21.bit","gru_L20_fl_mod_w21.hwh","","NONE"
"fl_mod","22","default","gru_L20_fl_mod_w22.bit","gru_L20_fl_mod_w22.hwh","","NONE"
"fl_mod","23","default","gru_L20_fl_mod_w23.bit","gru_L20_fl_mod_w23.hwh","","NONE"
"fl_mod","24","default","gru_L20_fl_mod_w24.bit","gru_L20_fl_mod_w24.hwh","","NONE"
