cell,src,width,rho_L,beta_dBdB,n_frames,n_dropped,esr_db,ref_len,test_len,truncated,status,pairs_file,ref,test
rodent_max,nam,18,-0.3324,-0.2721,8794,0,-38.22,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w18_nam_out.f32
rodent_max,nam,19,-0.3482,-0.2870,8794,0,-46.15,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w19_nam_out.f32
rodent_max,nam,20,-0.3953,-0.3429,8794,0,-53.07,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w20_nam_out.f32
rodent_max,nam,21,-0.4585,-0.3803,8794,0,-58.30,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w21_nam_out.f32
rodent_max,nam,22,-0.5012,-0.3383,8794,0,-67.78,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w22_nam_out.f32
rodent_max,nam,23,-0.4209,-0.3059,8794,0,-67.52,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w23_nam_out.f32
rodent_max,nam,24,-0.4371,-0.3370,8794,0,-68.19,9007200,9007200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_nam_ref32.f32,<ELLE_HB>/out/elle_w24_nam_out.f32
rodent_max,gtr2,8,0.5026,0.2673,20606,0,2.83,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w8_gtr2_out.f32
rodent_max,gtr2,9,0.1108,0.0603,20606,0,0.79,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w9_gtr2_out.f32
rodent_max,gtr2,10,-0.1597,-0.1110,20606,0,1.54,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w10_gtr2_out.f32
rodent_max,gtr2,11,0.3356,0.2503,20606,0,-0.82,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w11_gtr2_out.f32
rodent_max,gtr2,12,0.7273,0.5554,20606,0,-1.29,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w12_gtr2_out.f32
rodent_max,gtr2,13,0.5341,0.4661,20606,0,-3.34,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w13_gtr2_out.f32
rodent_max,gtr2,14,0.0622,0.0580,20606,0,-10.63,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w14_gtr2_out.f32
rodent_max,gtr2,15,0.0087,0.0085,20606,0,-15.94,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w15_gtr2_out.f32
rodent_max,gtr2,16,-0.2827,-0.3056,20606,0,-22.90,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w16_gtr2_out.f32
rodent_max,gtr2,17,-0.4437,-0.5407,20606,0,-29.90,21103200,21103200,0,OK,pairs_anchor85.csv,<ELLE_HB>/peaq/anchor_gtr2_ref32.f32,<ELLE_HB>/out/elle_w17_gtr2_out.f32
