cell,src,width,odg,total_nmr,rate,lowpass,sentinel
rodent_mod,gtr4ib,19,-0.051,-24.062623,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,20,0.086,-29.745215,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,21,0.143,-34.780786,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,22,0.179,-40.106368,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,23,0.186,-41.734403,48000,20000,SCORE-PEAQ-REV2
rodent_mod,gtr4ib,24,0.188,-42.165278,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,8,-3.799,26.883931,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,9,-3.800,14.286072,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,10,-3.728,13.052586,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,11,-3.601,9.767155,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,12,-3.073,5.846017,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,13,-1.858,2.095916,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,14,-1.081,-2.673315,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,15,-0.762,-6.859689,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,16,-0.473,-12.373320,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,17,-0.294,-18.074828,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,18,-0.087,-23.977731,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,19,-0.039,-29.605218,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,20,0.028,-34.905881,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,21,0.173,-38.828778,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,22,0.195,-44.590915,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,23,0.195,-44.765394,48000,20000,SCORE-PEAQ-REV2
gt_max,bass,24,0.196,-45.147053,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,8,-3.881,29.082672,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,9,-3.821,18.230035,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,10,-3.727,17.040581,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,11,-3.477,12.761923,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,12,-2.716,9.181827,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,13,-1.968,6.725784,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,14,-1.506,2.938011,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,15,-1.365,-1.260516,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,16,-0.911,-5.882840,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,17,-0.591,-10.550135,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,18,-0.307,-15.886603,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,19,-0.144,-21.912009,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,20,-0.094,-27.808495,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,21,0.118,-32.297641,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,22,0.174,-39.162029,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,23,0.177,-39.636795,48000,20000,SCORE-PEAQ-REV2
gt_max,gtr4ib,24,0.177,-39.717405,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,8,-3.902,32.372143,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,9,-3.875,22.641120,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,10,-3.793,17.063970,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,11,-3.578,14.016589,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,12,-3.048,8.489994,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,13,-1.894,3.840781,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,14,-1.008,-1.887308,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,15,-0.569,-7.998330,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,16,-0.286,-14.458804,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,17,-0.113,-20.683939,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,18,-0.020,-26.831027,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,19,0.125,-32.879345,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,20,0.168,-37.919439,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,21,0.185,-41.344325,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,22,0.195,-44.496607,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,23,0.195,-44.621854,48000,20000,SCORE-PEAQ-REV2
gt_mod,bass,24,0.195,-44.641943,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,8,-3.892,31.165101,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,9,-3.832,21.166842,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,10,-3.768,16.487151,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,11,-3.185,11.969796,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,12,-2.191,5.930473,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,13,-1.043,1.313109,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,14,-0.739,-4.169854,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,15,-0.558,-9.404133,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,16,-0.312,-14.587119,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,17,-0.143,-19.450992,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,18,-0.039,-24.376002,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,19,0.080,-29.597828,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,20,0.142,-34.803899,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,21,0.171,-38.768979,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,22,0.190,-43.126328,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,23,0.190,-43.266227,48000,20000,SCORE-PEAQ-REV2
gt_mod,gtr4ib,24,0.190,-43.312832,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,8,-3.477,12.355477,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,9,-3.022,12.565644,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,10,-3.162,10.416898,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,11,-2.823,2.660134,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,12,-2.595,1.937882,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,13,-2.441,1.502004,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,14,-3.507,9.204277,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,15,-2.412,4.036879,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,16,-1.630,-2.377063,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,17,-1.199,-8.673554,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,18,-0.956,-14.081589,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,19,-0.642,-19.938239,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,20,-0.019,-26.040384,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,21,-0.097,-31.517375,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,22,0.072,-34.717244,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,23,0.102,-36.656338,48000,20000,SCORE-PEAQ-REV2
fl_max,bass,24,0.099,-36.433937,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,8,-2.918,7.409727,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,9,-2.500,6.859680,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,10,-2.976,5.040748,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,11,-2.565,1.546415,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,12,-2.463,1.329302,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,13,-3.513,5.222407,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,14,-2.422,9.141381,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,15,-1.642,4.047055,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,16,-0.989,-2.541323,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,17,-0.565,-8.430886,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,18,-0.382,-14.571911,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,19,-0.202,-20.919456,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,20,-0.110,-26.485244,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,21,0.093,-31.434141,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,22,0.144,-35.849696,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,23,0.158,-37.645995,48000,20000,SCORE-PEAQ-REV2
fl_max,gtr4ib,24,0.160,-37.771379,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,8,-3.371,0.610551,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,9,-3.371,1.241804,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,10,-3.010,1.148301,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,11,-2.799,1.339067,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,12,-2.734,9.640416,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,13,-1.644,5.319598,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,14,-3.784,0.914925,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,15,-2.284,-4.229397,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,16,-1.119,-11.421120,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,17,-0.697,-16.372772,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,18,-0.393,-22.227393,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,19,-0.319,-29.108831,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,20,0.083,-34.272966,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,21,0.152,-40.002185,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,22,0.171,-43.688472,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,23,0.174,-44.390912,48000,20000,SCORE-PEAQ-REV2
fl_mod,bass,24,0.174,-44.426439,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,8,-2.715,2.757088,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,9,-3.351,1.939973,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,10,-2.905,1.245564,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,11,-2.740,1.310964,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,12,-2.566,4.282167,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,13,-1.780,5.628005,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,14,-3.485,5.452256,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,15,-1.505,-0.431906,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,16,-0.850,-6.500766,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,17,-0.472,-12.755472,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,18,-0.253,-18.722207,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,19,-0.131,-24.954939,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,20,-0.017,-30.654128,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,21,0.149,-35.938261,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,22,0.179,-40.720193,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,23,0.188,-43.285095,48000,20000,SCORE-PEAQ-REV2
fl_mod,gtr4ib,24,0.190,-43.904801,48000,20000,SCORE-PEAQ-REV2
