label,esr_db,mrstft
board_fl_max_nam_w24_float_ref,-50.18,0.3759342432022095
board_fl_mod_nam_w8_float_ref,8.51,19.132633209228516
board_fl_mod_nam_w9_float_ref,2.37,13.05355453491211
board_fl_mod_nam_w10_float_ref,0.22,12.014421463012695
board_fl_mod_nam_w11_float_ref,0.13,12.443453788757324
board_fl_mod_nam_w12_float_ref,0.02,12.916196823120117
board_fl_mod_nam_w13_float_ref,-0.03,13.28451156616211
board_fl_mod_nam_w14_float_ref,-14.56,4.312452793121338
board_fl_mod_nam_w15_float_ref,-27.05,2.8354649543762207
board_fl_mod_nam_w16_float_ref,-36.79,2.08600115776062
board_fl_mod_nam_w17_float_ref,-42.77,1.5506830215454102
board_fl_mod_nam_w18_float_ref,-50.62,1.1483452320098877
board_fl_mod_nam_w19_float_ref,-56.98,0.8611010313034058
board_fl_mod_nam_w20_float_ref,-60.92,0.6409156918525696
board_fl_mod_nam_w21_float_ref,-64.45,0.5028283596038818
board_fl_mod_nam_w22_float_ref,-75.00,0.4101223051548004
board_fl_mod_nam_w23_float_ref,-76.74,0.3743619918823242
board_fl_mod_nam_w24_float_ref,-77.09,0.36448192596435547
