label,esr_db,mrstft
board_bass_fl_max_w13,-0.28,
board_gtr4ib_fl_max_w13,-4.79,
board_bass_fl_max_w14,-18.86,
board_gtr4ib_fl_max_w14,-20.18,
board_bass_fl_max_w15,-26.83,
board_gtr4ib_fl_max_w15,-27.00,
board_bass_fl_max_w16,-33.65,
board_gtr4ib_fl_max_w16,-33.96,
board_bass_fl_max_w17,-40.64,
board_gtr4ib_fl_max_w17,-40.56,
board_bass_fl_max_w18,-45.52,
board_gtr4ib_fl_max_w18,-45.02,
board_bass_fl_max_w19,-52.19,
board_gtr4ib_fl_max_w19,-51.70,
board_bass_fl_max_w20,-59.51,
board_gtr4ib_fl_max_w20,-59.11,
board_bass_fl_max_w21,-65.97,
board_gtr4ib_fl_max_w21,-66.42,
board_bass_fl_max_w22,-73.05,
board_gtr4ib_fl_max_w22,-72.61,
board_bass_fl_max_w23,-75.27,
board_gtr4ib_fl_max_w23,-75.02,
board_bass_fl_max_w24,-76.02,
board_gtr4ib_fl_max_w24,-75.89,
board_bass_fl_mod_w8,7.30,
board_gtr4ib_fl_mod_w8,8.03,
board_bass_fl_mod_w9,2.73,
board_gtr4ib_fl_mod_w9,2.86,
board_bass_fl_mod_w10,0.23,
board_gtr4ib_fl_mod_w10,0.24,
board_bass_fl_mod_w11,0.15,
board_gtr4ib_fl_mod_w11,0.20,
board_bass_fl_mod_w12,0.09,
board_gtr4ib_fl_mod_w12,0.07,
board_bass_fl_mod_w13,-0.05,
board_gtr4ib_fl_mod_w13,-1.43,
board_bass_fl_mod_w14,-6.24,
board_gtr4ib_fl_mod_w14,-7.94,
board_bass_fl_mod_w15,-22.59,
board_gtr4ib_fl_mod_w15,-24.58,
board_bass_fl_mod_w16,-34.15,
board_gtr4ib_fl_mod_w16,-34.54,
board_bass_fl_mod_w17,-40.15,
board_gtr4ib_fl_mod_w17,-43.09,
board_bass_fl_mod_w18,-49.12,
board_gtr4ib_fl_mod_w18,-51.20,
board_bass_fl_mod_w19,-57.56,
board_gtr4ib_fl_mod_w19,-58.64,
board_bass_fl_mod_w20,-64.09,
board_gtr4ib_fl_mod_w20,-64.39,
board_bass_fl_mod_w21,-71.06,
board_gtr4ib_fl_mod_w21,-70.42,
board_bass_fl_mod_w22,-76.73,
board_gtr4ib_fl_mod_w22,-76.91,
board_bass_fl_mod_w23,-77.70,
board_gtr4ib_fl_mod_w23,-78.14,
board_bass_fl_mod_w24,-78.29,
board_gtr4ib_fl_mod_w24,-79.26,
