"sentinel","run_id","timestamp","cell","width","board_file","board_md5","ref_file","ref_md5","nmr_db","frames","skip_val","status","elapsed_s","raw_tail"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:26","fl_mod","8","board_nam_fl_mod_w8.f32","97540804DD07E03E9F2E5B8FD555D6FE","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","8.98","8794","1024","OK","2.7","NMR-REV2  NMR = 8.98 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:29","fl_mod","9","board_nam_fl_mod_w9.f32","A7C35CE2A8067865EAB24442E450EDA1","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","6.72","8794","1024","OK","2.6","NMR-REV2  NMR = 6.72 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:32","fl_mod","10","board_nam_fl_mod_w10.f32","41FBC035F4F9C7FCFEB65BF22CD457C6","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","6.25","8794","1024","OK","2.7","NMR-REV2  NMR = 6.25 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:36","fl_mod","11","board_nam_fl_mod_w11.f32","46B347E132CB178D63136ED2D2B0E733","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","13.29","8794","1024","OK","2.8","NMR-REV2  NMR = 13.29 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:39","fl_mod","12","board_nam_fl_mod_w12.f32","4464BD6416787B5AA3D4E71828FBAE33","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","18.37","8794","1024","OK","2.7","NMR-REV2  NMR = 18.37 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:42","fl_mod","13","board_nam_fl_mod_w13.f32","A6E8F1FBEC645272BDF95E8051CCA5EB","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","13.41","8794","1024","OK","2.8","NMR-REV2  NMR = 13.41 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:45","fl_mod","14","board_nam_fl_mod_w14.f32","49513FD43E23DEAE63D1B21EF93D157F","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","14.24","8794","1024","OK","2.6","NMR-REV2  NMR = 14.24 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:48","fl_mod","15","board_nam_fl_mod_w15.f32","72E0D9F4CB5652B9E35A12F3FE3272C7","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","8.19","8794","1024","OK","2.7","NMR-REV2  NMR = 8.19 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:51","fl_mod","16","board_nam_fl_mod_w16.f32","F99CE530211F91D2216955AD001021B6","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","2.43","8794","1024","OK","2.7","NMR-REV2  NMR = 2.43 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:54","fl_mod","17","board_nam_fl_mod_w17.f32","1220E4666DDF96178E3D200B7A0431E8","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-3.73","8794","1024","OK","2.7","NMR-REV2  NMR = -3.73 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:17:57","fl_mod","18","board_nam_fl_mod_w18.f32","BC7481E293DE741990530A2D48B16355","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-10.57","8794","1024","OK","2.6","NMR-REV2  NMR = -10.57 dB   (frames=8794, voiced=8794, skip=1024)"
"SCORE-XCELLNMR-REV2","20260814_091630","2026-08-14T09:18:00","fl_mod","19","board_nam_fl_mod_w19.f32","D7F49442F8F2007C3C3ECF180EC30882","anchor_nam_ref32_fl_mod.f32","31637310EF178F1E5909499925A31961","-16.39","8794","1024","OK","2.6","NMR-REV2  NMR = -16.39 dB   (frames=8794, voiced=8794, skip=1024)"
