epoch,train_loss,val_loss,val_esr_db,lr,seconds
1,0.830657,0.794293,-1.663,3.00e-03,9.1
2,0.762853,0.790786,-1.693,3.00e-03,8.5
3,0.762192,0.791122,-1.723,3.00e-03,8.5
4,0.758037,0.774784,-2.018,3.00e-03,8.6
5,0.700565,0.711805,-2.930,3.00e-03,8.7
6,0.532371,0.453196,-6.064,3.00e-03,8.6
7,0.364126,0.340333,-7.461,3.00e-03,8.7
8,0.295202,0.298688,-8.429,3.00e-03,8.7
9,0.253529,0.270840,-8.696,3.00e-03,8.7
10,0.248310,0.267588,-8.703,3.00e-03,8.7
11,0.219395,0.256141,-8.897,3.00e-03,8.7
12,0.213918,0.242518,-9.289,3.00e-03,8.6
13,0.203789,0.206828,-10.043,3.00e-03,8.6
14,0.184275,0.214692,-9.848,3.00e-03,8.6
15,0.179850,0.215524,-9.624,3.00e-03,8.6
16,0.171699,0.194824,-9.927,3.00e-03,8.6
17,0.168702,0.180194,-10.582,3.00e-03,8.6
18,0.157636,0.187691,-10.210,3.00e-03,8.6
19,0.161794,0.178815,-10.559,3.00e-03,8.6
20,0.160397,0.178700,-10.415,3.00e-03,8.6
21,0.148467,0.162076,-10.848,3.00e-03,8.6
22,0.148677,0.167624,-10.422,3.00e-03,8.6
23,0.144504,0.157640,-10.878,3.00e-03,8.6
24,0.144504,0.158657,-10.923,3.00e-03,8.6
25,0.139954,0.157225,-10.764,3.00e-03,8.6
26,0.135371,0.152882,-11.026,3.00e-03,8.6
27,0.134891,0.157504,-11.039,3.00e-03,8.6
28,0.139371,0.153630,-10.877,3.00e-03,8.6
29,0.135071,0.161595,-10.771,3.00e-03,8.6
30,0.133422,0.149227,-10.987,3.00e-03,8.6
31,0.132684,0.145558,-11.256,3.00e-03,8.6
32,0.129945,0.151129,-10.857,3.00e-03,8.6
33,0.127411,0.141760,-11.089,3.00e-03,8.6
34,0.127043,0.152170,-11.022,3.00e-03,8.6
35,0.126989,0.148800,-10.708,3.00e-03,8.6
36,0.123806,0.140641,-11.306,3.00e-03,8.6
37,0.123932,0.149058,-11.048,3.00e-03,8.6
38,0.125632,0.140238,-11.284,3.00e-03,8.6
39,0.119654,0.141969,-11.185,3.00e-03,8.6
40,0.127851,0.138932,-11.141,3.00e-03,8.6
41,0.121333,0.140220,-11.271,3.00e-03,8.6
42,0.119702,0.136852,-11.171,3.00e-03,8.6
43,0.121229,0.180945,-10.179,3.00e-03,8.6
44,0.117505,0.141543,-11.205,3.00e-03,8.6
45,0.117461,0.143646,-10.845,3.00e-03,8.6
46,0.113253,0.141104,-11.411,3.00e-03,8.6
47,0.117986,0.137077,-11.236,3.00e-03,8.6
48,0.113834,0.148418,-11.110,3.00e-03,8.6
49,0.111387,0.129475,-11.642,3.00e-03,8.6
50,0.112177,0.131321,-11.322,3.00e-03,8.6
51,0.113957,0.131462,-11.647,3.00e-03,8.6
52,0.113161,0.137462,-11.090,3.00e-03,8.6
53,0.110137,0.126617,-11.557,3.00e-03,8.6
54,0.106682,0.127551,-11.733,3.00e-03,8.6
55,0.113532,0.131838,-11.478,3.00e-03,8.6
56,0.112740,0.130968,-11.329,3.00e-03,8.6
57,0.108950,0.134980,-11.325,3.00e-03,8.6
58,0.108909,0.123481,-11.804,3.00e-03,8.6
59,0.107925,0.130345,-11.922,3.00e-03,8.6
60,0.110456,0.133677,-11.732,3.00e-03,8.6
61,0.107366,0.126796,-11.556,3.00e-03,8.6
62,0.105057,0.120880,-11.959,3.00e-03,8.6
63,0.107111,0.139490,-11.595,3.00e-03,8.6
64,0.105648,0.126894,-11.575,3.00e-03,8.6
65,0.107009,0.121780,-11.919,3.00e-03,8.6
66,0.106232,0.147432,-10.943,3.00e-03,8.6
67,0.102197,0.122180,-11.968,3.00e-03,8.6
68,0.102497,0.125571,-12.133,3.00e-03,8.6
69,0.105548,0.128426,-11.929,3.00e-03,8.6
70,0.104010,0.135419,-11.611,3.00e-03,8.6
71,0.102830,0.121687,-11.982,3.00e-03,8.6
72,0.104497,0.127199,-11.571,3.00e-03,8.6
73,0.102589,0.125471,-12.289,3.00e-03,8.6
74,0.102370,0.123044,-12.214,3.00e-03,8.6
75,0.103145,0.123915,-11.923,3.00e-03,8.6
76,0.104289,0.128952,-11.891,3.00e-03,8.6
77,0.099054,0.122326,-12.273,3.00e-03,8.6
78,0.098475,0.122489,-12.260,3.00e-03,8.6
79,0.098976,0.123990,-12.240,3.00e-03,8.6
80,0.100626,0.119295,-12.171,3.00e-03,8.6
81,0.096343,0.119965,-12.189,3.00e-03,8.6
82,0.095077,0.114807,-12.585,3.00e-03,8.6
83,0.100004,0.117552,-12.161,3.00e-03,8.6
